Code ISIN;Date valorisation;Prix Exact;Prix Predit;Erreur Obs/Pred
200709;2023-05-31 00:00:00;103148.3656135345;103105.20806501598;43.157548518516705
200751;2023-05-31 00:00:00;105502.80043047621;105416.66818924039;86.13224123582768
200764;2023-05-31 00:00:00;108824.12973947334;108709.7204172558;114.40932221754338
200774;2023-05-31 00:00:00;107744.2003055352;107618.04398741927;126.15631811592903
200792;2023-05-31 00:00:00;108817.5051239099;108674.20646678202;143.29865712787432
200802;2023-05-31 00:00:00;97351.58683179895;96884.93018841886;466.6566433800908
200993;2023-05-31 00:00:00;102036.39851030448;101952.0740082453;84.32450205918576
200999;2023-05-31 00:00:00;100646.81092569476;100353.04803393954;293.76289175522106
201093;2023-05-31 00:00:00;102085.73199836128;101906.99853796384;178.73346039744501
201236;2023-05-31 00:00:00;109223.19646963902;108986.13838834007;237.05808129895013
