maturite_annees;rmse_deux_etapes;rmse_kalman;kalman_meilleur
0.2491444216290212;0.11130306971848648;0.11050365081542712;True
0.4982888432580424;0.08591006222198692;0.0889176041339815;False
0.9965776865160848;0.05779129179944004;0.06035945082119164;False
0.999315537303217;0.057649988056846825;0.06021946322716419;False
1.998631074606434;0.05842078635523747;0.05906932824529196;False
2.9979466119096507;0.0468494497529006;0.04759326475873481;False
4.0;0.061150360255252674;0.061210284179223244;False
4.999315537303217;0.07968793196130687;0.07934033416239045;True
5.9986310746064335;0.08546696149645854;0.08485546704197294;True
6.997946611909651;0.09047906281341024;0.08957599074743987;True
8.0;0.09151417792636095;0.09039197956273938;True
8.999315537303216;0.08926505240330784;0.08806370783825652;True
9.998631074606434;0.08754536214794804;0.0864964486756314;True
10.99794661190965;0.07899297743395721;0.07811987513945372;True
12.0;0.07425175697505756;0.07385775941853823;True
12.999315537303216;0.07825684285783786;0.07854366267650534;False
13.998631074606434;0.09515321329630877;0.0960000004918503;False
14.99794661190965;0.12496292902622004;0.12607533986227581;False
16.0;0.08007703101558784;0.0815458589274531;False
16.999315537303218;0.07132284748438533;0.07289860950514483;False
17.998631074606433;0.10680046415217902;0.10793467338614776;False
18.99794661190965;0.16062317966430864;0.16149489364449932;False
20.0;0.2223992678866194;0.22314846168356517;False
20.999315537303215;0.1768992661491271;0.1775736614307706;False
21.998631074606436;0.13498041686489068;0.13557117821896766;False
22.99794661190965;0.0963964566977163;0.09690671950227209;False
24.0;0.06154222941653278;0.062021968972960986;False
24.999315537303215;0.03513393277015647;0.03580478609697109;False
25.998631074606436;0.03641181318999952;0.03738471763020238;False
26.99794661190965;0.06325786191361046;0.06438483203725286;False
28.0;0.09745592013068735;0.09888981386087958;False
28.999315537303215;0.13557243194083976;0.13743656926826625;False
29.998631074606436;0.17838714501266123;0.18079295517913552;False
